dem,ambient_temp,ambient_wind,initial_lst,ndbi,ndvi,optical_delta,optimal_height,optimal_wind,optimal_albedo,hvac_savings
49.0,32.7,12.4,37.5,0.012146816588938236,0.06946829706430435,0.4574,48.9,0.17,0.8,0.0186
49.0,32.7,12.4,37.5,0.012146816588938236,0.06946829706430435,0.4752,48.9,0.17,0.8,0.0186
56.0,32.4,13.3,35.2,0.10406660288572311,0.04990619793534279,0.1818,47.5,0.17,0.8,0.0186
56.0,32.4,13.3,35.2,0.10406660288572311,0.04990619793534279,0.1702,47.5,0.17,0.8,0.0186
56.0,32.4,13.3,35.2,0.10406660288572311,0.04990619793534279,0.1845,47.5,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.3724,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.2556,48.9,0.17,0.8,0.0186
49.0,32.3,13.5,32.5,-0.13957448303699493,0.6161738038063049,0.1411,47.5,0.17,0.8,0.0186
49.0,32.3,13.5,32.5,-0.13957448303699493,0.6161738038063049,0.1428,47.5,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.1894,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.1242,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.2439,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.3527,48.9,0.17,0.8,0.0186
58.0,32.3,11.9,32.9,0.050797030329704285,0.18808190524578094,0.2975,47.5,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.1548,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.3634,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.3875,48.9,0.17,0.8,0.0186
49.0,32.4,13.3,37.5,0.012146816588938236,0.06946829706430435,0.2083,48.9,0.17,0.8,0.0186
49.0,26.6,10.2,37.5,0.012146816588938236,0.06946829706430435,0.2072,47.5,0.17,0.8,0.0186
54.0,26.6,10.7,38.8,0.05816737189888954,0.11946364492177963,0.2543,47.5,0.17,0.8,0.0186
49.0,26.5,10.0,37.5,0.012146816588938236,0.06946829706430435,0.3105,47.5,0.17,0.8,0.0186
49.0,26.5,10.0,37.5,0.012146816588938236,0.06946829706430435,0.1397,47.5,0.17,0.8,0.0186
49.0,30.4,11.3,37.5,0.012146816588938236,0.06946829706430435,0.2856,47.5,0.17,0.8,0.0186
49.0,29.4,10.5,37.5,0.012146816588938236,0.06946829706430435,0.2457,47.5,0.17,0.8,0.0186
96.01956939697266,29.4,12.8,36.5,0.5163156390190125,0.08372986316680908,0.4065,15.0,0.17,0.32,0.0234
49.0,29.5,10.4,37.5,0.012146816588938236,0.06946829706430435,0.1585,47.5,0.17,0.8,0.0186
49.0,29.5,10.4,37.5,0.012146816588938236,0.06946829706430435,0.2034,47.5,0.17,0.8,0.0186
53.0,29.8,12.6,32.4,-0.10522214323282242,0.2706093192100525,0.2737,47.5,0.17,0.8,0.0186
49.0,29.8,10.5,37.5,0.012146816588938236,0.06946829706430435,0.1659,47.5,0.17,0.8,0.0186
81.79415893554688,29.6,12.8,32.9,0.07912611961364746,0.3592347204685211,0.4357,47.5,0.17,0.8,0.0186
54.0,31.4,10.7,36.8,0.015355976298451424,0.07389360666275024,0.1556,47.5,0.17,0.8,0.0186
54.0,31.2,10.9,39.3,0.035534679889678955,0.06703122705221176,0.1568,47.5,0.17,0.8,0.0186
54.0,31.2,10.9,39.3,0.035534679889678955,0.06703122705221176,0.4611,47.5,0.17,0.8,0.0186
64.0,30.9,13.0,37.0,0.12485826760530472,0.10195760428905487,0.3295,47.5,0.17,0.8,0.0186
49.0,31.4,10.7,37.5,0.012146816588938236,0.06946829706430435,0.3928,47.5,0.17,0.8,0.0186
49.0,31.4,10.7,37.5,0.012146816588938236,0.06946829706430435,0.2642,47.5,0.17,0.8,0.0186
49.0,31.4,10.8,37.5,0.012146816588938236,0.06946829706430435,0.4009,47.5,0.17,0.8,0.0186
57.0,30.9,13.2,33.4,-0.055673375725746155,0.30215826630592346,0.4395,47.5,0.17,0.8,0.0186
56.0,30.9,13.2,33.3,0.03729185461997986,0.2569132447242737,0.4232,47.5,0.17,0.8,0.0186
49.0,31.4,10.6,37.5,0.012146816588938236,0.06946829706430435,0.3656,47.5,0.17,0.8,0.0186
49.0,31.4,10.6,37.5,0.012146816588938236,0.06946829706430435,0.2462,47.5,0.17,0.8,0.0186
